出发poiid,到达poiid,驾车距离,驾车时间,公交距离,公交时间,步行距离,步行时间
13412802,86058,28085,2326,NULL,NULL,25966,19926
13412802,91002,33434,2447,NULL,NULL,29014,22717
13412802,76790,34007,2535,NULL,NULL,30618,24054
13412802,80719,19799,1776,NULL,NULL,18729,14168
13412802,55916162,44235,2714,NULL,NULL,39776,31195
13412802,81728,39878,2708,NULL,NULL,39224,29885
13412802,29950533,2425,463,NULL,NULL,1285,928
13412802,10559194,56735,3992,NULL,NULL,50965,37905
13412802,76144,33263,2353,NULL,NULL,29064,22747
13412802,10524093,30167,2371,NULL,NULL,27331,21191
13412802,24591219,28028,2371,NULL,NULL,26340,20207
13412802,80473,28819,2498,NULL,NULL,26960,20630
13412802,10524119,33526,2437,NULL,NULL,29372,22810
13412802,28408248,4496,718,NULL,NULL,562,410
13412802,52075446,48215,2779,NULL,NULL,39901,29388
13412802,75615,30488,2442,NULL,NULL,27432,21269
13412802,75624,14884,2405,NULL,NULL,13122,9644
13412802,75611,31346,2478,NULL,NULL,28026,21610
13412802,75627,29083,2548,NULL,NULL,26929,20547
75627,86058,1771,455,NULL,NULL,920,767
75627,91002,5225,829,NULL,NULL,3317,2776
75627,76790,7645,1028,NULL,NULL,4053,3608
75627,80719,9764,1710,NULL,NULL,8964,7263
75627,55916162,22215,1925,NULL,NULL,13684,11491
75627,81728,18060,1753,NULL,NULL,15439,13238
75627,29950533,30938,2389,NULL,NULL,26765,20533
75627,10559194,37690,3148,NULL,NULL,35933,28336
75627,76144,5054,669,NULL,NULL,3481,2939
75627,10524093,4942,784,NULL,NULL,2988,2364
75627,24591219,1452,397,NULL,NULL,1026,819
75627,80473,1163,252,NULL,NULL,448,322
75627,10524119,5317,819,NULL,NULL,2807,2364
75627,28408248,27770,2028,NULL,NULL,27235,20861
75627,52075446,68876,3984,NULL,NULL,62561,47037
75627,75615,5263,855,NULL,NULL,3089,2442
75627,75624,44544,3683,NULL,NULL,36336,27823
75627,75611,4738,753,NULL,NULL,1461,1164
75627,13412802,29004,2269,NULL,NULL,26749,20506
75611,86058,5415,718,NULL,NULL,2194,1852
75611,91002,5856,803,NULL,NULL,1925,1667
75611,76790,8276,1002,NULL,NULL,2954,2732
75611,80719,14329,1821,NULL,NULL,10409,7926
75611,55916162,22367,1768,NULL,NULL,12509,10584
75611,81728,18691,1727,NULL,NULL,14195,12182
75611,29950533,33582,2728,NULL,NULL,28039,21618
75611,10559194,38321,3122,NULL,NULL,34530,27214
75611,76144,5685,643,NULL,NULL,2089,1830
75611,10524093,7147,868,NULL,NULL,1605,1236
75611,24591219,5304,796,NULL,NULL,2253,1898
75611,80473,4563,676,NULL,NULL,1783,1430
75611,10524119,5948,793,NULL,NULL,1666,1433
75611,28408248,32552,2458,NULL,NULL,28166,21500
75611,52075446,72241,4296,NULL,NULL,63296,47164
75611,75615,5330,920,NULL,NULL,1706,1314
75611,75624,47909,3995,NULL,NULL,37067,27962
75611,75627,4826,726,NULL,NULL,1461,1201
